>> Trial 1, N=10000, P=8
>> Trial 1, N=10000, P=16
>> Trial 1, N=10000, P=32
>> Trial 1, N=10000, P=64
>> Trial 1, N=10000, P=128
>> Trial 1, N=100000, P=8
>> Trial 1, N=100000, P=16
>> Trial 1, N=100000, P=32
>> Trial 1, N=100000, P=64
>> Trial 1, N=100000, P=128
>> Trial 1, N=1000000, P=8
>> Trial 1, N=1000000, P=16
>> Trial 1, N=1000000, P=32
>> Trial 1, N=1000000, P=64
>> Trial 1, N=1000000, P=128
>> Trial 1, N=10000000, P=8
>> Trial 1, N=10000000, P=16
>> Trial 1, N=10000000, P=32
>> Trial 1, N=10000000, P=64
>> Trial 1, N=10000000, P=128
>> Trial 1, N=100000000, P=8
>> Trial 1, N=100000000, P=16
>> Trial 1, N=100000000, P=32
>> Trial 1, N=100000000, P=64
>> Trial 1, N=100000000, P=128
