trial,records,payload_max,cutoff,threads,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000,8,10000,1,0.769,3.897,12.163,63.452,13.046,1
1,100000,8,10000,2,0.769,4.855,16.358,66.202,17.628,1
1,100000,8,10000,4,0.749,4.948,9.248,62.473,11.225,1
1,100000,8,10000,8,0.779,4.852,8.730,58.935,13.503,1
1,100000,8,10000,16,0.773,4.959,9.205,55.292,11.247,1
1,100000,8,10000,32,0.835,5.365,10.570,73.594,11.587,1
1,100000,32,10000,1,0.858,5.749,13.936,77.076,14.578,1
1,100000,32,10000,2,0.895,6.664,18.132,72.385,19.201,1
1,100000,32,10000,4,0.764,6.494,10.614,85.519,15.071,1
1,100000,32,10000,8,0.755,6.552,10.423,76.004,16.031,1
1,100000,32,10000,16,0.929,6.887,11.108,65.684,12.846,1
1,100000,32,10000,32,0.798,7.190,12.106,77.427,12.363,1
1,100000,128,10000,1,0.910,12.200,20.463,202.056,15.787,1
1,100000,128,10000,2,0.824,13.423,25.044,219.083,19.051,1
1,100000,128,10000,4,0.856,13.665,17.505,299.282,14.095,1
1,100000,128,10000,8,0.856,13.361,17.112,147.795,15.811,1
1,100000,128,10000,16,0.788,14.604,18.828,186.656,13.879,1
1,100000,128,10000,32,0.801,14.778,19.403,269.324,14.363,1
1,1000000,8,10000,1,0.831,33.658,128.211,316.918,21.109,1
1,1000000,8,10000,2,0.833,40.738,184.075,556.631,20.210,1
1,1000000,8,10000,4,0.834,40.974,85.890,253.346,27.926,1
1,1000000,8,10000,8,0.862,40.101,75.411,344.997,24.596,1
1,1000000,8,10000,16,0.827,42.108,74.628,405.233,49.558,1
1,1000000,8,10000,32,0.823,44.014,76.096,406.276,25.797,1
1,1000000,32,10000,1,0.838,51.258,146.090,592.634,25.027,1
1,1000000,32,10000,2,0.789,58.823,200.823,684.122,29.527,1
1,1000000,32,10000,4,0.854,58.856,101.803,455.874,25.158,1
1,1000000,32,10000,8,0.775,57.626,91.542,483.603,30.237,1
1,1000000,32,10000,16,0.869,59.784,91.527,485.168,31.976,1
1,1000000,32,10000,32,0.753,62.042,95.788,545.394,27.048,1
1,1000000,128,10000,1,0.840,116.690,210.918,1302.512,45.451,1
1,1000000,128,10000,2,0.724,129.861,272.904,1197.022,44.530,1
1,1000000,128,10000,4,0.819,126.502,168.339,1968.275,43.106,1
1,1000000,128,10000,8,0.846,126.349,161.300,677.463,37.006,1
1,1000000,128,10000,16,1.004,175.763,206.538,684.464,40.787,1
1,1000000,128,10000,32,0.840,136.742,169.281,673.654,37.464,1
1,10000000,8,10000,1,1.041,454.906,1536.700,5762.009,1224.667,1
1,10000000,8,10000,2,2.646,682.190,2380.244,7728.794,135.822,1
1,10000000,8,10000,4,0.804,398.485,891.353,7974.401,125.182,1
1,10000000,8,10000,8,0.777,397.348,773.830,7383.692,92.223,1
1,10000000,8,10000,16,0.934,410.290,760.442,6901.566,90.617,1
1,10000000,8,10000,32,0.856,433.647,790.257,7415.046,98.580,1
1,10000000,32,10000,1,0.929,490.235,1574.248,11208.434,146.475,1
1,10000000,32,10000,2,0.754,563.712,2263.806,10951.157,146.325,1
1,10000000,32,10000,4,0.849,565.032,1059.463,12542.677,148.096,1
1,10000000,32,10000,8,0.791,565.866,936.843,11356.189,149.422,1
1,10000000,32,10000,16,0.767,580.711,933.752,10762.901,153.782,1
1,10000000,32,10000,32,0.894,619.656,961.448,10096.175,148.775,1
1,10000000,128,10000,1,0.860,1130.492,2213.402,25094.589,376.219,1
1,10000000,128,10000,2,0.902,1235.163,2934.911,27585.826,332.053,1
1,10000000,128,10000,4,0.813,1238.707,1731.534,23189.083,318.612,1
1,10000000,128,10000,8,0.801,1248.506,1613.045,13916.691,324.638,1
1,10000000,128,10000,16,0.768,1248.599,1584.913,11317.455,310.969,1
1,10000000,128,10000,32,0.823,1321.490,1619.654,6536.317,320.261,1
1,100000000,8,10000,1,0.845,5219.920,17686.459,25298.847,795.312,1
1,100000000,8,10000,2,0.967,3928.219,25294.367,26349.903,801.831,1
1,100000000,8,10000,4,0.806,3943.704,10314.061,62496.235,820.666,1
1,100000000,8,10000,8,0.791,3926.186,8587.027,121163.802,833.643,1
1,100000000,8,10000,16,0.880,4079.679,8187.949,163141.154,799.933,1
1,100000000,8,10000,32,0.809,4180.108,8540.400,105753.587,836.547,1
1,100000000,32,10000,1,0.752,4960.308,17377.933,230996.926,1352.342,1
1,100000000,32,10000,2,0.874,5714.293,27070.539,263139.531,1391.987,1
1,100000000,32,10000,4,0.829,5664.977,12136.172,237788.479,1379.221,1
1,100000000,32,10000,8,0.898,5538.772,10147.948,180034.328,1363.865,1
1,100000000,32,10000,16,0.880,7708.874,11480.714,224936.041,1354.078,1
1,100000000,32,10000,32,0.723,7559.115,11594.301,204238.443,1382.690,1
1,100000000,128,10000,1,0.823,11252.911,23667.218,516512.509,2986.094,1
1,100000000,128,10000,2,0.781,12163.551,33478.300,530553.601,3304.119,1
1,100000000,128,10000,4,0.887,12022.938,18398.587,675447.074,3374.002,1
1,100000000,128,10000,8,0.824,12117.730,16731.255,626505.809,3023.063,1
1,100000000,128,10000,16,0.842,12416.518,16370.900,626102.961,3096.530,1
1,100000000,128,10000,32,0.829,12540.918,16851.447,678742.954,3062.550,1
