trial,records,payload_max,cutoff,threads,nodes,total_ranks,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000,8,10000,1,1,1,1.264,5.958,16.538,3118.501,392.765,1
1,100000,8,10000,2,1,1,0.917,4.627,12.904,68.496,2.119,1
1,100000,8,10000,4,1,1,1.077,4.577,11.620,22.732,2.240,1
1,100000,8,10000,8,1,1,0.892,4.768,11.833,21.994,2.255,1
1,100000,8,10000,16,1,1,0.956,4.526,10.997,20.583,2.206,1
1,100000,8,10000,32,1,1,0.867,4.375,11.577,16.623,1.821,1
1,100000,32,10000,1,1,1,0.872,6.658,17.470,24.924,2.697,1
1,100000,32,10000,2,1,1,0.831,6.903,15.173,51.530,2.639,1
1,100000,32,10000,4,1,1,0.927,7.089,14.331,27.573,2.628,1
1,100000,32,10000,8,1,1,0.910,6.901,13.576,36.547,2.485,1
1,100000,32,10000,16,1,1,0.900,6.764,15.082,26.368,2.772,1
1,100000,32,10000,32,1,1,0.872,6.679,13.714,27.118,2.582,1
1,100000,128,10000,1,1,1,0.862,14.703,24.576,73.546,4.778,1
1,100000,128,10000,2,1,1,0.893,14.746,22.706,4993.266,10.218,1
1,100000,128,10000,4,1,1,0.976,14.931,22.936,3578.577,2420.177,1
1,100000,128,10000,8,1,1,0.843,14.944,21.304,146.146,4.707,1
1,100000,128,10000,16,1,1,0.931,13.760,19.523,72.442,3.976,1
1,100000,128,10000,32,1,1,0.879,12.454,19.602,65.310,4.127,1
1,1000000,8,10000,1,1,1,0.913,39.041,166.865,183.776,9.556,1
1,1000000,8,10000,2,1,1,0.801,38.034,137.515,214.931,21.615,1
1,1000000,8,10000,4,1,1,0.798,39.111,116.089,200.984,17.901,1
1,1000000,8,10000,8,1,1,0.799,38.983,98.783,210.733,16.957,1
1,1000000,8,10000,16,1,1,0.809,40.433,87.036,212.880,21.777,1
1,1000000,8,10000,32,1,1,0.841,37.183,76.569,188.002,17.301,1
1,1000000,32,10000,1,1,1,0.832,56.207,185.472,310.366,16.535,1
1,1000000,32,10000,2,1,1,0.823,58.511,156.321,324.761,16.370,1
1,1000000,32,10000,4,1,1,0.796,57.531,134.353,297.923,15.803,1
1,1000000,32,10000,8,1,1,0.755,56.666,115.170,294.760,17.110,1
1,1000000,32,10000,16,1,1,1.025,56.803,101.560,292.497,17.136,1
