trial,records,payload_max,cutoff,threads,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000,8,10000,1,0.749,69.264,80.233,196.226,30.598,1
1,100000,8,10000,2,0.796,4.698,11.620,166.638,27.402,1
1,100000,8,10000,4,0.743,5.122,10.316,137.144,26.136,1
1,100000,8,10000,8,0.741,4.724,9.016,135.476,27.937,1
1,100000,8,10000,16,0.837,4.963,9.008,164.621,28.363,1
1,100000,8,10000,32,0.755,5.126,10.505,139.905,27.259,1
1,100000,32,10000,1,0.861,108.839,120.036,253.915,53.005,1
1,100000,32,10000,2,0.767,6.248,13.076,112.366,12.015,1
1,100000,32,10000,4,0.806,6.427,11.423,89.403,16.330,1
1,100000,32,10000,8,0.862,6.555,10.534,82.572,16.958,1
1,100000,32,10000,16,0.763,6.502,10.595,91.400,16.040,1
1,100000,32,10000,32,0.854,6.916,13.875,92.180,13.340,1
1,100000,128,10000,1,0.742,70.937,82.145,160.719,24.757,1
1,100000,128,10000,2,0.731,12.264,19.113,142.605,15.835,1
1,100000,128,10000,4,0.792,13.625,17.581,136.035,16.709,1
1,100000,128,10000,8,0.759,12.583,16.117,211.414,17.079,1
1,100000,128,10000,16,0.751,13.718,17.832,173.783,18.019,1
1,100000,128,10000,32,0.838,12.723,17.284,155.817,14.773,1
1,1000000,8,10000,1,0.732,223.313,355.621,412.659,28.402,1
1,1000000,8,10000,2,0.804,38.745,117.572,486.289,43.891,1
1,1000000,8,10000,4,0.784,41.532,100.728,464.468,28.471,1
1,1000000,8,10000,8,0.841,38.877,81.392,465.933,26.825,1
1,1000000,8,10000,16,0.811,41.833,70.412,427.804,34.294,1
1,1000000,8,10000,32,0.887,42.209,74.114,433.862,28.110,1
1,1000000,32,10000,1,0.900,672.652,804.985,633.338,55.478,1
1,1000000,32,10000,2,0.763,54.994,133.684,545.416,42.014,1
1,1000000,32,10000,4,0.857,56.593,111.249,566.439,63.093,1
1,1000000,32,10000,8,0.880,56.910,92.712,611.735,54.287,1
1,1000000,32,10000,16,0.795,56.214,86.873,694.269,32.325,1
1,1000000,32,10000,32,0.785,61.749,94.269,716.657,34.512,1
1,1000000,128,10000,1,0.901,1366.519,1497.852,1319.211,58.916,1
1,1000000,128,10000,2,0.863,117.565,196.108,1415.524,59.957,1
1,1000000,128,10000,4,0.849,142.975,183.018,1864.391,73.659,1
1,1000000,128,10000,8,0.859,129.767,158.014,1761.797,59.770,1
1,1000000,128,10000,16,0.716,120.131,150.441,1453.035,60.584,1
1,1000000,128,10000,32,0.806,121.238,150.203,1574.467,49.398,1
1,10000000,8,10000,1,0.927,3077.039,4683.448,2827.658,124.339,1
1,10000000,8,10000,2,0.938,384.090,1302.182,3673.408,116.139,1
1,10000000,8,10000,4,0.778,401.098,1081.639,3927.442,119.721,1
1,10000000,8,10000,8,0.783,375.903,799.752,3610.255,99.280,1
1,10000000,8,10000,16,0.744,406.029,719.061,3815.218,99.397,1
1,10000000,8,10000,32,0.762,423.255,692.792,4416.301,134.991,1
1,10000000,32,10000,1,0.868,4269.340,5868.710,6216.120,179.058,1
1,10000000,32,10000,2,0.776,517.769,1438.346,3131.022,361.904,1
1,10000000,32,10000,4,0.973,525.757,1158.719,5659.474,209.064,1
1,10000000,32,10000,8,0.774,547.041,947.271,5962.066,173.378,1
1,10000000,32,10000,16,0.816,539.583,835.799,5258.015,236.833,1
1,10000000,32,10000,32,0.864,562.783,824.975,5324.688,205.808,1
1,10000000,128,10000,1,0.850,7909.067,9516.980,13470.003,338.744,1
1,10000000,128,10000,2,0.770,1153.588,2076.490,9610.203,324.790,1
1,10000000,128,10000,4,0.843,1292.835,1842.128,6811.706,331.490,1
1,10000000,128,10000,8,0.908,1408.967,1708.928,6425.944,337.368,1
1,10000000,128,10000,16,0.916,1518.636,1773.603,6929.391,326.804,1
1,10000000,128,10000,32,1.062,1420.467,1678.096,6634.631,330.913,1
1,100000000,8,10000,1,0.818,7331.258,27501.033,183656.858,845.445,1
1,100000000,8,10000,2,0.892,3742.228,15062.380,232962.919,826.648,1
1,100000000,8,10000,4,0.802,4061.135,13261.468,173243.526,866.717,1
1,100000000,8,10000,8,0.793,3932.171,9007.721,233265.274,804.421,1
1,100000000,8,10000,16,0.838,4059.775,7243.673,154191.200,943.886,1
1,100000000,8,10000,32,0.793,4065.157,6639.699,123470.264,907.927,1
1,100000000,32,10000,1,0.763,19993.539,40226.231,26773.331,1362.753,1
1,100000000,32,10000,2,1.006,5622.856,16923.853,123321.774,1436.575,1
1,100000000,32,10000,4,0.865,5214.060,14090.438,314825.116,1565.175,1
1,100000000,32,10000,8,0.881,5733.865,11416.137,329405.187,1585.832,1
1,100000000,32,10000,16,0.905,5594.902,8324.891,223434.643,1482.301,1
1,100000000,32,10000,32,0.984,6238.534,8892.285,31365.306,1577.869,1
1,100000000,128,10000,1,0.800,56762.368,76946.441,636089.507,3140.242,1
1,100000000,128,10000,2,0.796,30791.333,42184.578,513487.943,3166.929,1
1,100000000,128,10000,4,0.768,18514.977,23057.263,437640.585,3452.962,1
1,100000000,128,10000,8,0.855,12278.022,15497.513,513661.923,3396.536,1
1,100000000,128,10000,16,0.766,11961.272,14640.429,385568.597,3553.607,1
1,100000000,128,10000,32,0.782,11961.334,14602.979,317043.937,3481.550,1
