trial,records,payload_max,cutoff,threads,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000,8,10000,1,0.918,3.904,12.117,14.367,1.806,1
1,100000,8,10000,2,0.724,4.021,12.300,13.406,1.652,1
1,100000,8,10000,4,0.819,3.925,12.041,14.117,1.725,1
1,100000,8,10000,8,0.815,4.027,12.221,13.791,1.755,1
1,100000,8,10000,16,0.776,3.693,11.970,13.220,1.801,1
1,100000,8,10000,32,0.764,4.063,12.367,13.692,1.762,1
1,100000,32,10000,1,0.889,5.999,14.221,36.272,2.550,1
1,100000,32,10000,2,0.856,6.194,14.349,20.155,2.130,1
1,100000,32,10000,4,0.832,6.177,14.554,19.914,2.330,1
1,100000,32,10000,8,0.777,5.571,13.824,19.575,2.307,1
1,100000,32,10000,16,0.745,5.979,14.320,19.491,2.513,1
1,100000,32,10000,32,0.720,5.593,13.793,19.759,2.660,1
1,100000,128,10000,1,0.821,11.784,20.061,68.417,3.679,1
1,100000,128,10000,2,0.802,11.997,20.224,47.186,3.988,1
1,100000,128,10000,4,0.834,12.105,20.380,47.791,4.104,1
1,100000,128,10000,8,0.824,12.106,20.343,51.633,4.048,1
1,100000,128,10000,16,0.854,12.785,20.985,48.851,4.039,1
1,100000,128,10000,32,0.716,11.839,20.036,54.764,4.047,1
1,1000000,8,10000,1,0.828,33.307,128.119,155.635,9.880,1
1,1000000,8,10000,2,0.853,33.908,129.034,152.981,9.850,1
1,1000000,8,10000,4,0.831,33.973,128.181,155.089,10.093,1
1,1000000,8,10000,8,0.827,32.889,127.471,168.025,15.915,1
1,1000000,8,10000,16,0.773,33.816,128.665,167.250,16.589,1
1,1000000,8,10000,32,0.873,33.430,127.761,187.594,16.581,1
1,1000000,32,10000,1,0.861,49.444,144.029,241.748,56.549,1
1,1000000,32,10000,2,0.764,49.965,144.675,296.586,26.545,1
1,1000000,32,10000,4,0.797,50.027,144.460,342.236,15.739,1
1,1000000,32,10000,8,0.720,50.755,145.386,290.203,15.516,1
1,1000000,32,10000,16,0.811,50.167,144.607,278.907,15.497,1
1,1000000,32,10000,32,0.767,49.661,144.065,302.660,16.299,1
1,1000000,128,10000,1,0.833,114.698,209.347,640.684,31.966,1
1,1000000,128,10000,2,0.773,115.262,210.418,651.977,33.621,1
1,1000000,128,10000,4,0.787,115.226,209.408,636.014,32.291,1
1,1000000,128,10000,8,0.841,117.186,211.517,624.333,33.196,1
1,1000000,128,10000,16,0.803,120.200,214.472,651.030,32.550,1
1,1000000,128,10000,32,0.841,114.835,209.213,699.376,32.275,1
1,10000000,8,10000,1,0.729,322.725,1404.761,1779.735,79.928,1
1,10000000,8,10000,2,0.826,333.255,1413.285,1719.385,83.100,1
1,10000000,8,10000,4,0.773,333.387,1414.094,1716.345,81.388,1
1,10000000,8,10000,8,0.728,327.876,1410.407,1739.387,80.823,1
1,10000000,8,10000,16,0.807,338.506,1419.138,1688.889,79.641,1
1,10000000,8,10000,32,0.799,326.986,1407.715,1731.149,79.639,1
1,10000000,32,10000,1,0.739,489.562,1569.635,2593.868,174.179,1
1,10000000,32,10000,2,0.820,494.284,1574.660,2637.316,134.878,1
1,10000000,32,10000,4,0.735,499.281,1580.851,2651.315,133.937,1
1,10000000,32,10000,8,0.849,501.326,1582.244,2595.803,137.399,1
1,10000000,32,10000,16,0.821,496.212,1578.221,2610.295,134.270,1
1,10000000,32,10000,32,0.757,498.391,1580.270,2618.256,135.060,1
1,10000000,128,10000,1,0.917,1150.933,2233.464,6283.063,320.553,1
1,10000000,128,10000,2,0.836,1133.643,2213.295,6259.504,324.218,1
1,10000000,128,10000,4,0.806,1147.209,2230.700,6444.768,308.808,1
1,10000000,128,10000,8,0.853,1142.021,2222.942,6316.609,316.342,1
1,10000000,128,10000,16,0.823,1141.380,2220.447,6158.059,331.315,1
1,10000000,128,10000,32,0.742,1132.323,2212.033,6393.365,329.411,1
1,100000000,8,10000,1,0.783,3269.799,15716.993,18060.339,813.550,1
1,100000000,8,10000,2,0.775,3259.744,15710.130,17182.907,815.664,1
1,100000000,8,10000,4,0.828,3253.940,15709.471,18135.941,797.025,1
1,100000000,8,10000,8,0.840,3259.022,15719.053,17932.826,817.683,1
1,100000000,8,10000,16,0.767,3282.246,15733.035,16905.620,812.423,1
1,100000000,8,10000,32,0.746,3205.622,15658.665,16842.317,811.777,1
1,100000000,32,10000,1,0.843,4912.785,17315.956,29426.796,1368.784,1
1,100000000,32,10000,2,0.720,5029.175,17433.152,120177.352,1372.983,1
1,100000000,32,10000,4,0.767,5072.160,17474.758,28393.220,1396.893,1
1,100000000,32,10000,8,0.851,4945.238,17344.103,27482.093,1401.483,1
1,100000000,32,10000,16,0.818,5010.919,17423.352,108089.415,1342.731,1
1,100000000,32,10000,32,0.752,5016.259,17417.559,112660.757,1350.341,1
1,100000000,128,10000,1,0.825,11365.735,23757.930,282782.406,3076.907,1
1,100000000,128,10000,2,0.830,11392.581,23796.001,277179.106,3050.004,1
1,100000000,128,10000,4,0.774,11332.964,23746.994,264694.073,2994.636,1
1,100000000,128,10000,8,0.749,11227.086,23642.031,278670.179,3038.804,1
1,100000000,128,10000,16,0.761,11421.086,23812.394,68975.031,3056.683,1
1,100000000,128,10000,32,0.853,11136.363,23555.431,503608.677,2868.490,1
